interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,wind_forecast
2026-02-20 22:00:00-05:00,2026-02-21 03:00:00+00:00,2026-02-20 23:00:00-05:00,2026-02-21 04:00:00+00:00,2026-02-20 17:00:00-05:00,2026-02-20 22:00:00+00:00,6278.155
2026-02-20 23:00:00-05:00,2026-02-21 04:00:00+00:00,2026-02-21 00:00:00-05:00,2026-02-21 05:00:00+00:00,2026-02-20 18:00:00-05:00,2026-02-20 23:00:00+00:00,5646.033
2026-02-21 00:00:00-05:00,2026-02-21 05:00:00+00:00,2026-02-21 01:00:00-05:00,2026-02-21 06:00:00+00:00,2026-02-20 19:00:00-05:00,2026-02-21 00:00:00+00:00,5029.443
2026-02-21 01:00:00-05:00,2026-02-21 06:00:00+00:00,2026-02-21 02:00:00-05:00,2026-02-21 07:00:00+00:00,2026-02-20 20:00:00-05:00,2026-02-21 01:00:00+00:00,4490.263
2026-02-21 02:00:00-05:00,2026-02-21 07:00:00+00:00,2026-02-21 03:00:00-05:00,2026-02-21 08:00:00+00:00,2026-02-20 21:00:00-05:00,2026-02-21 02:00:00+00:00,4103.772
2026-02-21 03:00:00-05:00,2026-02-21 08:00:00+00:00,2026-02-21 04:00:00-05:00,2026-02-21 09:00:00+00:00,2026-02-20 22:00:00-05:00,2026-02-21 03:00:00+00:00,3750.487
2026-02-21 04:00:00-05:00,2026-02-21 09:00:00+00:00,2026-02-21 05:00:00-05:00,2026-02-21 10:00:00+00:00,2026-02-20 23:00:00-05:00,2026-02-21 04:00:00+00:00,3527.314
2026-02-21 05:00:00-05:00,2026-02-21 10:00:00+00:00,2026-02-21 06:00:00-05:00,2026-02-21 11:00:00+00:00,2026-02-21 00:00:00-05:00,2026-02-21 05:00:00+00:00,3108.62
2026-02-21 06:00:00-05:00,2026-02-21 11:00:00+00:00,2026-02-21 07:00:00-05:00,2026-02-21 12:00:00+00:00,2026-02-21 01:00:00-05:00,2026-02-21 06:00:00+00:00,2790.642
2026-02-21 07:00:00-05:00,2026-02-21 12:00:00+00:00,2026-02-21 08:00:00-05:00,2026-02-21 13:00:00+00:00,2026-02-21 02:00:00-05:00,2026-02-21 07:00:00+00:00,2542.369
2026-02-21 08:00:00-05:00,2026-02-21 13:00:00+00:00,2026-02-21 09:00:00-05:00,2026-02-21 14:00:00+00:00,2026-02-21 03:00:00-05:00,2026-02-21 08:00:00+00:00,2381.629
2026-02-21 09:00:00-05:00,2026-02-21 14:00:00+00:00,2026-02-21 10:00:00-05:00,2026-02-21 15:00:00+00:00,2026-02-21 04:00:00-05:00,2026-02-21 09:00:00+00:00,2229.956
2026-02-21 10:00:00-05:00,2026-02-21 15:00:00+00:00,2026-02-21 11:00:00-05:00,2026-02-21 16:00:00+00:00,2026-02-21 05:00:00-05:00,2026-02-21 10:00:00+00:00,2027.068
2026-02-21 11:00:00-05:00,2026-02-21 16:00:00+00:00,2026-02-21 12:00:00-05:00,2026-02-21 17:00:00+00:00,2026-02-21 06:00:00-05:00,2026-02-21 11:00:00+00:00,1949.893
2026-02-21 12:00:00-05:00,2026-02-21 17:00:00+00:00,2026-02-21 13:00:00-05:00,2026-02-21 18:00:00+00:00,2026-02-21 07:00:00-05:00,2026-02-21 12:00:00+00:00,1970.943
2026-02-21 13:00:00-05:00,2026-02-21 18:00:00+00:00,2026-02-21 14:00:00-05:00,2026-02-21 19:00:00+00:00,2026-02-21 08:00:00-05:00,2026-02-21 13:00:00+00:00,2197.057
2026-02-21 14:00:00-05:00,2026-02-21 19:00:00+00:00,2026-02-21 15:00:00-05:00,2026-02-21 20:00:00+00:00,2026-02-21 09:00:00-05:00,2026-02-21 14:00:00+00:00,2529.759
2026-02-21 15:00:00-05:00,2026-02-21 20:00:00+00:00,2026-02-21 16:00:00-05:00,2026-02-21 21:00:00+00:00,2026-02-21 10:00:00-05:00,2026-02-21 15:00:00+00:00,2801.411
2026-02-21 16:00:00-05:00,2026-02-21 21:00:00+00:00,2026-02-21 17:00:00-05:00,2026-02-21 22:00:00+00:00,2026-02-21 11:00:00-05:00,2026-02-21 16:00:00+00:00,3095.497
2026-02-21 17:00:00-05:00,2026-02-21 22:00:00+00:00,2026-02-21 18:00:00-05:00,2026-02-21 23:00:00+00:00,2026-02-21 12:00:00-05:00,2026-02-21 17:00:00+00:00,3536.78
2026-02-21 18:00:00-05:00,2026-02-21 23:00:00+00:00,2026-02-21 19:00:00-05:00,2026-02-22 00:00:00+00:00,2026-02-21 13:00:00-05:00,2026-02-21 18:00:00+00:00,3857.428
2026-02-21 19:00:00-05:00,2026-02-22 00:00:00+00:00,2026-02-21 20:00:00-05:00,2026-02-22 01:00:00+00:00,2026-02-21 14:00:00-05:00,2026-02-21 19:00:00+00:00,4347.817
2026-02-21 20:00:00-05:00,2026-02-22 01:00:00+00:00,2026-02-21 21:00:00-05:00,2026-02-22 02:00:00+00:00,2026-02-21 15:00:00-05:00,2026-02-21 20:00:00+00:00,4822.241
2026-02-21 21:00:00-05:00,2026-02-22 02:00:00+00:00,2026-02-21 22:00:00-05:00,2026-02-22 03:00:00+00:00,2026-02-21 16:00:00-05:00,2026-02-21 21:00:00+00:00,5402.221
2026-02-21 22:00:00-05:00,2026-02-22 03:00:00+00:00,2026-02-21 23:00:00-05:00,2026-02-22 04:00:00+00:00,2026-02-21 17:00:00-05:00,2026-02-21 22:00:00+00:00,5575.09
2026-02-21 23:00:00-05:00,2026-02-22 04:00:00+00:00,2026-02-22 00:00:00-05:00,2026-02-22 05:00:00+00:00,2026-02-21 18:00:00-05:00,2026-02-21 23:00:00+00:00,5617.481
2026-02-22 00:00:00-05:00,2026-02-22 05:00:00+00:00,2026-02-22 01:00:00-05:00,2026-02-22 06:00:00+00:00,2026-02-21 19:00:00-05:00,2026-02-22 00:00:00+00:00,5640.088
2026-02-22 01:00:00-05:00,2026-02-22 06:00:00+00:00,2026-02-22 02:00:00-05:00,2026-02-22 07:00:00+00:00,2026-02-21 20:00:00-05:00,2026-02-22 01:00:00+00:00,5658.087
2026-02-22 02:00:00-05:00,2026-02-22 07:00:00+00:00,2026-02-22 03:00:00-05:00,2026-02-22 08:00:00+00:00,2026-02-21 21:00:00-05:00,2026-02-22 02:00:00+00:00,5853.306
2026-02-22 03:00:00-05:00,2026-02-22 08:00:00+00:00,2026-02-22 04:00:00-05:00,2026-02-22 09:00:00+00:00,2026-02-21 22:00:00-05:00,2026-02-22 03:00:00+00:00,6080.333
2026-02-22 04:00:00-05:00,2026-02-22 09:00:00+00:00,2026-02-22 05:00:00-05:00,2026-02-22 10:00:00+00:00,2026-02-21 23:00:00-05:00,2026-02-22 04:00:00+00:00,6407.993
2026-02-22 05:00:00-05:00,2026-02-22 10:00:00+00:00,2026-02-22 06:00:00-05:00,2026-02-22 11:00:00+00:00,2026-02-22 00:00:00-05:00,2026-02-22 05:00:00+00:00,6508.757
2026-02-22 06:00:00-05:00,2026-02-22 11:00:00+00:00,2026-02-22 07:00:00-05:00,2026-02-22 12:00:00+00:00,2026-02-22 01:00:00-05:00,2026-02-22 06:00:00+00:00,6709.149
2026-02-22 07:00:00-05:00,2026-02-22 12:00:00+00:00,2026-02-22 08:00:00-05:00,2026-02-22 13:00:00+00:00,2026-02-22 02:00:00-05:00,2026-02-22 07:00:00+00:00,6985.656
